"V1","V2","V3","V7","V8","V9","V10","cond","game1","game2","game3","outcome1","outcome2","outcome3","Q5","Q1_1(1)","Q1_1(2)","Q2_1(1)","Q2_1(2)","Q4_1(1)","Q4_1(2)","Q6_1","Q6_2","Q6_3","Q6_4","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q9","Q11_1","Q13_1","Q15_1","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q17_10","Q17_11","Q17_12","Q17_13","Q17_14","Q17_15","Q17_16","Q17_17","Q17_18","Q17_19","Q17_20","Q17_21","Q17_22","Q17_23","Q17_24","Q17_25","Q17_26","Q17_27","Q17_28","Q17_29","Q17_30","Q23_1","Q25","Q31",""
"R_3sZ3bsFsYp4sXWd","Default Response Set","Anonymous","0","2015-02-17 13:12:55","2015-02-17 13:16:35","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","","20","","30","1","4","3","5","100","40","99","80","90","30","1","2","20","12","","","","1","","1","","","1","","1","","","","","","","","","","","","","","1","","1","","","","32","1","",""
"R_6Y9WWDY7EFABsXj","Default Response Set","Anonymous","0","2015-02-17 13:10:29","2015-02-17 13:16:59","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","50","","75","","60","","4","5","4","5","85","70","100","95","80","70","1","2","50","10","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","29","1","",""
"R_dpuHyauzB1sJ5pH","Default Response Set","Anonymous","0","2015-02-17 12:58:45","2015-02-17 13:17:11","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","80","","","25","65","","3","5","2","6","92","62","100","89","82","65","1","2","30","5","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","28","1","Need to list home/away info. I also took important injuries to certain players (Blake Griffin on the Clippers, specifically) when considering who would win. Might want to clarify any difference between ""some randomness"" and ""chance element"". Are those options meant to be different?",""
"R_eXz10tEnBabUzu5","Default Response Set","Anonymous","0","2015-02-17 14:21:23","2015-02-17 14:26:41","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","20","","30","65","","5","3","2","4","90","40","100","85","83","34","1","4","30","10","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","27","1","",""
"R_cTMBvjX6qrzhvJr","Default Response Set","Anonymous","0","2015-02-17 14:27:17","2015-02-17 14:30:39","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","20","","25","","50","3","5","2","4","100","20","80","80","76","60","1","1","10","2","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","26","1","",""
"R_7UthWzI3pG3I5IV","Default Response Set","Anonymous","0","2015-02-17 14:50:53","2015-02-17 14:54:47","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","32","","28","","35","3","6","5","7","85","45","100","85","65","25","1","5","65","30","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","26","1","Cannot accurately answer the first three questions without knowing the home team.",""
"R_3Izk8IqNorKUnf7","Default Response Set","Anonymous","0","2015-02-17 15:00:19","2015-02-17 15:05:26","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","35","53","","58","","3","4","5","4","80","40","100","85","77","47","1","2","25","2","1","","","","1","","","","1","","","","","1","","","","","","","","","1","","1","","1","","","","","1","",""
"R_d9Y5Cc5hlZNVXVz","Default Response Set","Anonymous","0","2015-02-17 15:28:41","2015-02-17 15:32:00","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","35","60","","60","","4","5","4","4","85","40","100","70","50","40","1","2","10","10","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","35","1","",""
"R_efCiOWu0op86v6B","Default Response Set","Anonymous","0","2015-02-17 15:31:05","2015-02-17 15:34:59","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","50","","","50","50","","5","4","5","6","90","50","100","80","70","60","1","3","45","10","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","28","1","",""
"R_cMHY484ihBgx6aF","Default Response Set","Anonymous","0","2015-02-17 15:35:41","2015-02-17 15:38:12","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","50","","50","","33.3","4","5","2","6","90","76","100","81","82","75","1","2","50","15","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","24","1","",""
"R_71yAc8yXMzjwawd","Default Response Set","Anonymous","0","2015-02-17 16:51:17","2015-02-17 16:55:53","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","55","","50","","","45","6","5","5","5","80","75","100","87","79","77","1","3.5","40","20","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","",""
"R_6ROon6FkAwXRRml","Default Response Set","Anonymous","0","2015-02-17 17:32:26","2015-02-17 17:38:07","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","60","","50","","","33","2","5","2","5","90","50","100","75","75","50","1","3","42","12","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","42","1","",""
"R_bQxyp8ZWzXBY9Ct","Default Response Set","Anonymous","0","2015-02-17 17:47:17","2015-02-17 17:51:01","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","85","","85","","","50","3","3","3","7","95","70","100","85","80","75","1","3","30","9","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","46","1","",""
"R_6foKnhDERhvuWy1","Default Response Set","Anonymous","0","2015-02-17 18:03:03","2015-02-17 18:10:36","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","45","55","","70","","3","5","4","2","80","60","100","85","70","55","1","6","159","15","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","24","1","",""
"R_8231zirmzEiBS2V","Default Response Set","Anonymous","0","2015-02-17 18:39:30","2015-02-17 18:46:53","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","65","","","45","51","","4","5","2","6","1","1","1","1","100","2","1","2","35","40","","","","","","","","","1","","","","1","","","","","","","","","","","","1","","","1","","","26","1","that one where you need to divide out 100 for the 6 teams....my whole house didn't understand it.  I would recommend re phrasing it.  Also, for the first few questions, you need to let people know who's home and away.  Makes a huge difference.   / All the best guys",""
"R_4HGlM0aQ4uYQ7Ep","Default Response Set","Anonymous","0","2015-02-17 23:02:01","2015-02-17 23:07:54","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","65","","55","","65","","4","4","4","4","90","70","100","87","80","70","1","5","80","15","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","30","1","",""
"R_bDVZhhVcnc7E8nz","Default Response Set","Anonymous","0","2015-02-17 17:24:12","2015-02-18 08:09:16","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","70","","90","","55","","3","6","3","5","94","82","100","92","94","50","1","2","40","2","","","","","","","","","1","","","","","","","1","","","","","","","","","1","","","","","","43","1","",""
"R_9oiOPeaIhTjTQvr","Default Response Set","Anonymous","0","2015-02-18 08:34:38","2015-02-18 08:40:15","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","70","","","35","90","","6","5","5","5","72","45","100","75","70","40","1","2","30","6","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","1","","","24","1","I found this an interesting way to consider teams, particularly the assigning of ratings to the six teams. /  / I have no suggestions as I am not entirely sure of the purpose of the study.",""
"R_57uE7vrXOdKptdP","Default Response Set","Anonymous","0","2015-02-18 09:52:11","2015-02-18 09:56:09","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","15","","20","","45","3","5","6","6","90","20","100","70","80","30","1","6","100","28","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","32","1","The NBA is a like any other league. The strongest team with the least amount of important injuries will always win.",""
"R_9KqEdnLJZbMePLD","Default Response Set","Anonymous","0","2015-02-18 13:35:53","2015-02-18 13:42:04","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","99","","99","","1","","4","6","4","4","100","50","90","60","90","60","1","3","50","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","47","1","",""
"R_0U29SWem0x3uNXn","Default Response Set","Anonymous","0","2015-02-18 16:23:37","2015-02-18 16:28:17","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","25","","15","65","","2","3","4","5","85","65","100","80","75","50","1","2","15","10","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","43","1","",""
"R_3PmjNAACk9Jqo4d","Default Response Set","Anonymous","0","2015-02-18 17:02:20","2015-02-18 17:06:11","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","65","","","50","50","","4","4","4","4","100","70","90","90","80","60","1","3","45","14","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","27","1","its the CHARLOTTE HORNETS and the NEW ORLEANS PELICANS",""
"R_1RABmDuSVZIJJaJ","Default Response Set","Anonymous","0","2015-02-16 12:13:05","2015-02-18 17:07:44","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","68","","","50","50","","5","5","5","5","95","35","100","70","80","50","1","10","120","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","1","",""
"R_7NSvf7tYnhjHerb","Default Response Set","Anonymous","0","2015-02-19 02:10:45","2015-02-19 02:14:50","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","50","","30","","40","3","3","3","4","85","75","100","90","80","70","1","2","30","5","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","28","1","I think you should list home and away teams in the first part of the survey.",""
"R_0oIx0DHopcAVyqV","Default Response Set","Anonymous","0","2015-02-17 16:59:05","2015-02-17 16:59:37","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_1RfdVra4ZQQqUWF","Default Response Set","Anonymous","0","2015-02-18 07:33:32","2015-02-18 07:36:46","0","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","39","","45","","46","","","","","100","50","90","85","70","75","1","3","40","6","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_3RiXHJGVSTRRXmZ","Default Response Set","Anonymous","0","2015-02-17 15:41:54","2015-02-17 15:43:17","0","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","10","50","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_6ojJtyFyMUa8zdP","Default Response Set","Anonymous","0","2015-02-16 12:13:31","2015-02-16 12:21:22","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_6Qe5fStzbvo6ohn","Default Response Set","Anonymous","0","2015-02-17 12:33:59","2015-02-17 12:34:16","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_9GpWJnuWl88tfKd","Default Response Set","Anonymous","0","2015-02-17 13:57:16","2015-02-17 13:59:44","0","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","15","","25","70","","3","5","4","6","90","15","100","80","80","30","1","3","25","6","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","27","1","",""
"R_9ZhNvnDU3zs5PqR","Default Response Set","Anonymous","0","2015-02-17 13:13:23","2015-02-17 13:13:48","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_aaAEEKLTLjkD2Xb","Default Response Set","Anonymous","0","2015-02-17 14:24:14","2015-02-17 14:40:43","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_bKiysItnsNkfFHf","Default Response Set","Anonymous","0","2015-02-17 16:33:40","2015-02-17 16:35:12","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","70","","","30","65","","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_bxutFSYIVB0QRil","Default Response Set","Anonymous","0","2015-02-16 12:17:44","2015-02-16 12:18:08","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_cYDkAP3mySwF7Ux","Default Response Set","Anonymous","0","2015-02-17 16:01:47","2015-02-17 16:05:46","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","50","","25","66","","5","3","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_dm30Ee8tCKuYzel","Default Response Set","Anonymous","0","2015-02-16 12:13:42","2015-02-16 12:16:57","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","75","","80","","","30","5","5","3","5","85","60","100","75","80","50","1","2","35","8","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","33","1","",""
"R_dn8Mumw7SZVb7r7","Default Response Set","Anonymous","0","2015-02-16 12:13:20","2015-02-16 12:13:34","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_dp9VgvwtX0YJgH3","Default Response Set","Anonymous","0","2015-02-16 12:16:09","2015-02-16 12:17:26","0","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","59","","57","","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_e5JbVBJ4dVCzyyp","Default Response Set","Anonymous","0","2015-02-17 18:29:03","2015-02-17 18:30:04","0","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","0","","","69","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R_eDKA6lCLEzlB6Zv","Default Response Set","Anonymous","0","2015-02-17 14:56:17","2015-02-17 14:56:31","0","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
