"ResponseID","Status","StartDate","EndDate","rain1","rain2","temp1","temp2","political1","political2","football1","football2","baseball1","baseball2","movies1","movies2","housing1","housing2","crime1","crime2","geo1","geo2","pop1","pop2","soccer1","soccer2","ocean1","ocean2","s_chicago","s_minn","s_pitt","s_portland","s_obama","s_romney","s_cardinals","s_49ers","s_spiderman","s_batman","s_atlanta","s_nashville","s_columbus","s_detroit","s_nevada","s_wyoming","s_istanbul","s_shanghai","s_italy","s_germany","s_atlantic","s_indian","s_cubs","s_dodgers","e_rain1","e_rain2","e_rain3","e_rain4","e_rain5","e_rain6","e_rain7","e_rain8","e_temp1","e_temp2","e_temp3","e_temp4","e_temp5","e_temp6","e_temp7","e_temp8","e_politics1","e_politics2","e_politics3","e_politics4","e_politics5","e_politics6","e_politics7","e_politics8","e_football1","e_football2","e_football3","e_football4","e_football5","e_football6","e_football7","e_football8","e_baseball1","e_baseball2","e_baseball3","e_baseball4","e_baseball5","e_baseball6","e_baseball7","e_baseball8","e_movies1","e_movies2","e_movies3","e_movies4","e_movies5","e_movies6","e_movies7","e_movies8","e_housing1","e_housing2","e_housing3","e_housing4","e_housing5","e_housing6","e_housing7","e_housing8","e_crime1","e_crime2","e_crime3","e_crime4","e_crime5","e_crime6","e_crime7","e_crime8","e_geo1","e_geo2","e_geo3","e_geo4","e_geo5","e_geo6","e_geo7","e_geo8","e_pop1","e_pop2","e_pop3","e_pop4","e_pop5","e_pop6","e_pop7","e_pop8","e_soccer1","e_soccer2","e_soccer3","e_soccer4","e_soccer5","e_soccer6","e_soccer7","e_soccer8","e_ocean1","e_ocean2","e_ocean3","e_ocean4","e_ocean5","e_ocean6","e_ocean7","e_ocean8","k_rain","k_rain","k_temp","k_temp","k_presiden","k_presiden","k_football","k_football","k_baseball","k_baseball","k_movies","k_movies","k_housing","k_housing","k_crime","k_crime","k_geo","k_geo","k_populat","k_populat","k_soccer","k_soccer","k_ocean","k_ocean","dcheck1","dcheck2_1","dcheck2_2","dcheck2_3","dcheck2_4","dcheck2_5","dcheck2_6","dcheck2_7","dcheck2_8","dcheck2_9","dcheck2_10","age","gender","outside_sources","comments","target1","target2","target3","target4","target5","target6","target7","target8","target9","target10","target11","target12","block1","block2","block3","block4","block5","block6"
"R_czRqQ6gsZeWcfFa","0","6/7/12 19:33","6/7/12 19:47","","","50","","","40","60","","","","","","","","","50","40","","50","","","","","","","","85","100","100","90","80","100","","","","","75","100","90","100","75","100","","","","","","","","","","","","","","","4","4","5","5","","","","","","","","","2","5","1","6","2","6","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","2","7","6","1","6","1","","","","","5","3","3","4","","","","","","","","","","","","","","","","","","","","","","","2","","","4","2","","","","","","","","","1","2","","2","","","","","","2","","","","","","","","","","","57","2","2","","","Temperature A","US President B","Football A","","","","Crime B","State Size A","Population A","","","temp","crime","football","state size","population","politics"
"R_0pj8Xz1oBhamURK","0","6/7/12 19:33","6/7/12 19:48","","70","","","","25","","","50","","60","","","","","40","50","","","","","","","","100","50","","","100","50","","","50","100","","","5","100","100","50","","","","","","","100","50","","","","","1","1","1","7","","","","","","","","","","","","","6","2","1","2","","","","","","","","","2","6","1","7","","","","","1","6","1","7","","","","","","","","","","","","","","","","","2","6","1","7","7","1","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","10","","","2","","8","","","","","3","6","","","","","","","","2","","","","","","","","","","","46","2","2","no","Rain B","","US President B","","Baseball A","Box Office A","","Crime B","State Size A","","","","state size","rain","politics","crime","baseball","movies"
"R_0uk6LtDUtYkvAuo","0","6/7/12 19:36","6/7/12 19:49","","","","","","0","","","","50","5","","","","","","","0","10","","","","10","","","","","","100","40","","","60","100","","","","","100","80","40","100","","","70","100","90","100","","","","","","","","","","","","","","","","","","","","","5","6","1","6","","","","","","","","","","","","","5","7","1","5","5","6","1","3","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","7","2","7","5","","","","","","","","","","","","","7","5","6","5","","","","","","","","","","8","","","","1","9","","","","","","","3","2","","","","3","","2","","","","","","","","","","","25","1","2","Nay... feel a little dumb though. Regardless thanks for the survey. I had fun.","","","US President B","","Baseball B","Box Office A","","","State Size B","Population A","","Ocean Size A","baseball","ocean","state size","movies","population","politics"
"R_e4Mtd7voHUwlMxu","0","6/7/12 19:41","6/7/12 19:49","40","","30","","","","","","","75","0","","","","85","","","","","","","","","20","70","100","70","100","","","","","60","100","","","30","100","","","","","","","100","99","30","100","5","6","1","7","","","","","5","6","2","3","","","","","","","","","","","","","","","","","","","","","","","","","6","5","1","3","3","6","2","4","","","","","","","","","","","","","6","5","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2","7","1","7","","4","","","","","","","10","8","","","","4","","","","","","","","","7","2","","","","","","","","","","","52","1","2","Very cool. Thank you.","Rain A","Temperature A","","","Baseball B","Box Office A","","Crime A","","","","Ocean Size B","crime","rain","temp","baseball","ocean","movies"
"R_cU3iGiPFAKuqO9K","0","6/7/12 19:43","6/7/12 19:50","60","","45","","60","","","","45","","","","","","","","","","","70","50","","","","100","70","100","75","100","75","","","","","","","","","","","60","100","100","50","","","50","100","5","3","4","4","","","","","6","7","4","4","","","","","1","7","4","6","","","","","","","","","","","","","5","6","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","1","7","4","5","","","","","","","","","","","","","3","","3","","8","","","","4","","","","","","","","","","","7","1","","","","2","","","","","","","","","","","22","2","2","","Rain A","Temperature A","US President A","","Baseball A","","","","","Population B","Soccer A","","politics","temp","soccer","rain","baseball","population"
"R_0Ur4LXmLjPEgrvC","0","6/7/12 19:43","6/7/12 19:50","","","","","","0","","50","","","","","","85","","40","50","","","","","30","","","","","","","100","0","100","100","","","100","80","85","100","90","100","","","100","30","","","","","","","","","","","","","","","","","","","","","","","","","1","5","1","1","","","","","2","2","2","1","","","","","","","","","","","","","","","","","","","","","3","5","4","1","","","","","6","5","5","2","7","6","7","1","","","","","","","","","","","","","","","","","5","6","4","6","","","","","","","","","","","","","","10","","1","","","","","","4","","7","9","","","","","1","","","2","","","","","","","","","","","21","1","2","","","","US President B","Football B","","","Housing Prices B","Crime B","State Size A","","Soccer B","","housing","state size","football","crime","soccer","politics"
"R_1AI2OPVCofdQNbS","0","6/7/12 19:44","6/7/12 19:50","","","10","","","10","","","","","","50","","","","","50","","10","","","","90","","","","100","80","100","10","","","99","100","","","","","100","99","75","100","","","100","60","","","","","","","","","","","6","4","4","5","","","","","","","","","1","5","1","5","","","","","","","","","","","","","","","","","","","","","1","7","1","7","","","","","","","","","","","","","","","","","7","1","7","1","","","","","6","1","7","1","","","","","","","","","","","","","7","1","7","1","","","","","","","2","","","4","","","","","","1","","","","","6","","6","","","","4","","2","","","","","","","","","","","30","2","2","None","","Temperature A","US President B","","","Box Office B","","","State Size A","Population A","","Ocean Size A","ocean","state size","temp","movies","politics","population"
"R_9pNDRw7uGbmxAkk","0","6/7/12 19:43","6/7/12 19:50","","","","","","","50","","","50","","","85","","95","","","100","0","","","","","","","","","","","","80","100","","","100","75","50","100","85","100","70","100","","","","","100","80","","","","","","","","","","","","","","","","","","","","","","","","","1","7","4","7","","","","","","","","","1","7","4","7","","","","","","","","","7","2","5","1","","","","","5","5","2","6","","","","","","","","","7","1","7","1","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","2","","6","","","3","3","","","","","","2","","","","","","","","","","","22","2","2","","","","","Football A","Baseball B","","Housing Prices A","Crime A","State Size B","Population A","","","baseball","housing","state size","football","crime","population"
"R_1TvHdJk5uPDn8qM","0","6/7/12 19:43","6/7/12 19:51","","","","","60","","","50","","","","50","","","","30","","","","","","50","60","","","","","","100","60","75","100","50","100","","","30","100","","","","","100","60","100","60","","","","","","","","","","","","","","","","","","","4","3","4","4","","","","","","","","","1","7","1","7","","","","","","","","","","","","","1","7","1","7","","","","","","","","","","","","","4","7","1","7","","","","","","","","","","","","","","","","","","","","","1","7","1","7","7","1","7","1","","","","","","","","","6","","","1","","","","2","","","","6","","","","","","1","1","","2","","","","","","","","","","","28","2","2","","","","US President A","Football B","","Box Office B","","Crime B","","","Soccer B","Ocean Size A","soccer","crime","movies","politics","ocean","football"
"R_elCditu3E8eFcfa","0","6/7/12 19:41","6/7/12 19:51","","60","","","","","","20","","70","","","","","100","","100","","","","80","","","","60","100","","","","","25","100","","","","","10","100","100","90","","","100","50","","","60","100","","","","","2","4","1","2","","","","","","","","","","","","","","","","","","","","","1","5","1","5","","","","","1","4","1","4","","","","","","","","","","","","","","","","","3","4","1","2","","","","","7","1","7","1","","","","","","","","","","","","","1","4","1","4","","","","","","","","","","","","","","5","","","","","","3","","3","","","","","8","","9","","","","1","","","","2","","","","","","","","","","","31","1","2","","Rain B","","","Football B","Baseball B","","","Crime A","State Size A","","Soccer A","","soccer","state size","baseball","rain","football","crime"
"R_cD3zAXWMvH9vEXi","0","6/7/12 19:43","6/7/12 19:51","","","","75","","","50","","","","","80","","","","10","60","","","","","","100","","","","100","40","","","100","60","50","100","","","10","100","100","80","","","","","100","45","","","","","","","","","","","","","","","4","5","2","5","","","","","","","","","3","5","1","2","","","","","","","","","","","","","","","","","3","5","3","5","","","","","","","","","","","","","6","4","4","2","7","1","7","1","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","6","","","1","","","","","8","","","","3","3","","","","","","9","","2","","","","","","","","","","","21","1","2","","","Temperature B","","Football A","","Box Office B","","Crime B","State Size A","","","Ocean Size A","state size","football","ocean","temp","crime","movies"
"R_8H9b9EsL5JvdXus","0","6/7/12 19:38","6/7/12 19:52","","50","","","40","","","","","","","","60","","","30","","","","80","","70","","","50","100","","","40","100","","","","","100","60","40","100","","","60","100","50","100","","","","","","","","","1","5","2","7","","","","","","","","","4","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","4","4","","","","","","","","","6","5","3","3","","","","","","","","","","","","","6","5","5","4","","","","","1","7","1","4","","","","","","","","","","7","","","4","","","","","","","","9","","","9","","","","6","","3","","","2","","","","","","","","","","","69","","2","","Rain B","","US President A","","","","Housing Prices A","Crime B","","Population B","Soccer B","","politics","crime","housing","soccer","population","rain"
"R_cLPyfcP7GaHSxYE","0","6/7/12 19:45","6/7/12 19:52","","40","","","","","50","","50","","","","","","80","","","70","","","","","100","","50","100","","","","","100","50","","","","","30","100","60","100","","","","","100","20","100","80","","","","","3","5","2","6","","","","","","","","","","","","","","","","","2","5","2","6","","","","","4","6","3","7","","","","","","","","","","","","","","","","","","","","","4","7","2","7","","","","","","","","","6","3","7","1","","","","","","","","","","","","","","","","","7","2","7","1","","","","","","3","","","","","2","","2","","","","","","5","","","9","","","","","5","","2","","","","","","","","","","","21","1","2","Nice study, very repetitive though. ","Rain B","","","Football A","Baseball A","","","Crime A","State Size B","","","Ocean Size A","baseball","state size","crime","ocean","rain","football"
"R_77fciNxIdTyY4hC","0","6/7/12 19:46","6/7/12 19:53","45","","","","","","55","","","","","","","","","","10","","","95","","40","","15","60","100","","","","","90","100","","","","","","","80","100","20","100","100","75","100","25","","","3","6","4","6","","","","","","","","","","","","","","","","","","","","","2","5","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","6","1","","","","","","","","","7","4","7","2","","","","","2","5","2","7","","","","","6","1","6","2","2","","","","","","2","","","","","","","","","","5","","","4","","3","","5","2","","","","","","","","","","","21","2","2","n/a","Rain A","","","Football A","","","","","State Size A","Population B","Soccer B","Ocean Size B","soccer","rain","population","football","state size","ocean"
"R_5aJbdF2PJftyCQA","0","6/7/12 19:41","6/7/12 19:53","","","","75","","35","","","","","","60","80","","","","","","","","50","","100","","","","100","50","100","50","","","100","50","50","100","","","","","","","100","50","100","50","","","","","","","","","","","","","","","6","6","6","6","","","","","2","2","1","1","","","","","","","","","","","","","","","","","","","","","6","6","4","2","3","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","4","4","","","","","6","5","5","5","","","","","","","","10","","10","","","","","","5","9","","","","","","","","10","","10","","2","","","","","","","","","","","30","2","2","","","Temperature B","US President B","","","Box Office B","Housing Prices A","","","","Soccer A","Ocean Size A","soccer","movies","temp","housing","ocean","politics"
"R_cZOG1pJz2XlSha4","0","6/7/12 19:47","6/7/12 19:53","40","","","","","","","50","","30","","60","30","","","","40","","","","","","","","100","0","","","","","100","0","100","0","0","100","","","100","0","","","","","","","0","100","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","","","","","6","6","6","6","","","","","6","6","6","6","6","6","6","6","","","","","","","","","","","","","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","6","","6","","6","6","","","","6","","","","","","","","2","","","","","","","","","","","26","2","2","none","Rain A","","","Football B","Baseball B","Box Office B","Housing Prices A","","State Size A","","","","rain","football","movies","baseball","housing","state size"
"R_0Igx2YVfY0y4PDS","0","6/7/12 19:45","6/7/12 19:53","","","","","","","","","","50","70","","70","","60","","","","10","","","","100","","","","","","","","","","100","80","90","100","60","100","","","70","100","","","100","50","70","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","7","2","7","3","5","2","5","","","","","3","7","3","7","","","","","4","6","3","6","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","1","3","","4","","4","","","","4","","","","11","","2","","","","","","","","","","","35","1","2","No.","","","","","Baseball B","Box Office A","Housing Prices A","Crime A","","Population A","","Ocean Size A","ocean","movies","crime","baseball","population","housing"
"R_0JmpfltD4CUUZz6","0","6/7/12 19:38","6/7/12 19:53","","","","","","5","20","","30","","","20","","40","","","","","0","","","","","","","","","","100","80","80","100","90","100","100","85","","","","","75","100","","","","","100","80","","","","","","","","","","","","","","","","","","","","","1","3","1","5","1","5","1","5","","","","","1","5","1","6","","","","","","","","","2","5","1","5","","","","","4","5","2","5","","","","","","","","","","","","","","","","","3","3","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","9","1","","1","","","3","","1","","","","","5","","","","","","2","","","","","","","","","","","62","2","2","","","","US President B","Football A","Baseball A","Box Office B","Housing Prices B","","","Population A","","","movies","baseball","housing","population","football","politics"
"R_4Ml8RXuybFgziFS","0","6/7/12 19:42","6/7/12 19:53","","77","","","","","","","","","88","","","","","","0","","10","","89","","0","","77","100","","","","","","","100","25","","","","","100","0","0","100","100","75","100","10","","","","","","","1","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","1","5","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","7","1","6","1","","","","","1","6","1","1","","","","","6","2","6","1","","","","","","6","","","","","","","","","10","","","","","","10","","5","","10","","10","","2","","","","","","","","","","","64","1","2","","Rain B","","","","","Box Office A","","","State Size A","Population A","Soccer A","Ocean Size A","population","state size","movies","soccer","rain","ocean"
"R_0oKPdOIJ7dLiYsY","0","6/7/12 19:43","6/7/12 19:53","","50","","50","50","","","","","75","","","","60","","","","","1","","","","","","100","50","100","50","50","100","","","","","100","40","","","","","10","100","","","","","20","100","","","","","4","5","4","5","","","","","5","6","2","6","3","2","1","7","","","","","","","","","","","","","","","","","5","7","2","7","","","","","","","","","","","","","5","1","7","1","","","","","","","","","","","","","","","","","5","1","7","1","","","","","","","","","","","","","","","","","","","","","","6","","6","9","","","","","10","","","","8","","","","","8","","","","","","2","","","","","","","","","","","33","1","2","","Rain B","Temperature B","US President A","","Baseball B","","Housing Prices B","","","Population A","","","politics","housing","population","baseball","rain","temp"
"R_9uD8SXs9jU4UfZO","0","6/7/12 19:46","6/7/12 19:55","","","","90","","50","","","","60","","","","60","90","","","","","","","60","","","","","100","50","100","50","","","","","100","40","40","100","","","","","40","100","","","40","100","","","","","","","","","","","","","7","4","2","6","","","","","1","1","1","4","","","","","","","","","","","","","6","5","1","6","","","","","","","","","","","","","6","6","4","4","5","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","5","1","1","6","","","","","","","","","","","","7","","6","","","","9","","","","7","8","","","","","","","6","","","2","","","","","","","","","","","56","2","2","thank you and good luck!","","Temperature B","US President B","","Baseball B","","Housing Prices B","Crime A","","","Soccer B","","baseball","politics","crime","housing","temp","soccer"
"R_6iet5xWepCmaHbe","0","6/7/12 19:50","6/7/12 19:56","","","","","43","","54","","65","","","","56","","43","","","","","100","","","","","","","","","100","50","100","20","","","20","100","100","50","","","50","100","","","","","100","50","","","","","","","","","","","","","","","","","5","4","6","7","","","","","5","6","5","5","","","","","4","4","4","4","","","","","","","","","","","","","5","6","5","6","","","","","6","5","5","5","","","","","","","","","","","","","","","","","5","6","5","6","","","","","","","","","","","","","","","","","","","","","8","","8","","6","","","","9","","6","","","","","9","","","","","1","","","","","","","","","","1","25","1","2","","","","US President A","Football A","Baseball A","","Housing Prices A","Crime A","","Population B","","","housing","football","crime","population","baseball","politics"
"R_6WDcJeYOkMSntAw","0","6/7/12 19:48","6/7/12 19:56","","","67","","","20","","","","","","","","","","88","","","","78","","70","40","","","","100","80","100","40","","","","","","","100","70","","","80","100","60","100","100","60","","","","","","","","","","","3","5","3","5","","","","","","","","","5","4","5","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","2","6","","","","","","","","","","","","","6","2","6","3","","","","","2","2","2","6","6","1","6","1","","","","","","","4","","","8","","","","","","","","","","5","","","","5","","5","7","","1","","","","","","","1","","","1","23","1","2","Nice study.","","Temperature A","US President B","","","","","Crime B","","Population B","Soccer B","Ocean Size A","soccer","ocean","crime","politics","temp","population"
"R_4UGcVbLwLabW1HC","0","6/7/12 19:46","6/7/12 19:56","","60","","80","45","","","","","","","50","","","","30","","","","","","","100","","90","100","100","90","95","100","","","100","99","","","70","100","","","","","","","100","85","","","","","","","5","3","4","3","","","","","4","5","2","5","4","5","2","6","","","","","","","","","","","","","","","","","","","","","","","","","2","5","2","4","","","","","","","","","","","","","6","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","1","","1","6","","","","","","","1","","","","5","","","","","","","10","","2","","","","","","","","","","","34","2","2","","Rain B","Temperature B","US President A","","","Box Office B","","Crime B","","","","Ocean Size A","movies","rain","politics","temp","crime","ocean"
"R_ezo5BP7ZBKzqXru","0","6/7/12 19:47","6/7/12 19:56","","60","","","","","","","","50","30","","","","","","0","","","90","","50","","","60","100","","","","","","","90","100","","","","","10","100","30","100","60","100","","","100","50","","","","","1","7","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","7","1","6","1","7","1","5","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","6","2","7","1","","","","","1","7","1","3","","","","","","","","","","6","","","","","","","","2","1","","","","","","11","","","10","","5","","","2","","","","","","","","","","","38","1","2","It was interesting.","Rain B","","","","Baseball B","Box Office A","","","State Size A","Population B","Soccer B","","population","soccer","movies","state size","rain","baseball"
"R_9FdnMmMt6mDQ0kc","0","6/7/12 19:50","6/7/12 19:58","65","","30","","","","","50","","","","","","","","","15","","","","42","","","37","100","70","100","60","","","100","80","","","","","","","75","100","","","72","100","100","60","","","5","6","2","6","","","","","5","6","2","5","","","","","","","","","","","","","","","","","2","6","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","2","6","1","5","","","","","","","","","7","1","7","1","6","","6","","","","","1","","","","","","","","","7","","","","4","","","7","2","","","","","","","","","","","48","2","2","","Rain A","Temperature A","","Football B","","","","","State Size A","","Soccer A","Ocean Size B","rain","football","soccer","temp","ocean","state size"
"R_5jTcEwF3BoOXVoU","0","6/7/12 19:44","6/7/12 19:59","","","0","","40","","","50","","","","","","0","","","","40","","","50","","","","","","50","100","40","100","30","100","","","100","70","","","100","70","","","100","60","","","","","","","","","","","","","1","7","1","7","","","","","1","7","1","4","","","","","","","","","1","2","1","3","","","","","","","","","","","","","","","","","","","","","7","1","5","1","","","","","","","","","","","","","7","1","7","1","","","","","","","","","1","5","1","6","","","","","","","","","","","","","","","1","","1","","","1","","","","","","1","","","","1","","","1","","","","2","","","","","","","","","","","30","1","2","I liked the survey however I did not know anything about the items prsented so I just tried to make a good guess at what I thought they were","","Temperature A","US President A","Football B","","","Housing Prices B","","State Size B","","Soccer A","","housing","soccer","politics","temp","state size","football"
"R_1Rr0SzmZqJL4ZjS","0","6/7/12 19:51","6/7/12 19:59","40","","10","","","","50","","","50","","","","","","","","","0","","","","","0","60","100","100","80","","","100","70","","","","","","","","","40","100","","","100","0","60","100","1","7","1","6","","","","","1","5","1","2","","","","","","","","","","","","","1","7","1","5","","","","","","","","","1","7","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","1","1","","","","","","","","","","","","","","","","","7","1","4","2","2","","3","","","","1","","","1","","","","","","","","","6","","","","","8","2","","","","","","","","","","","43","2","2","","Rain A","Temperature A","","Football A","Baseball B","","","","","Population A","","Ocean Size B","rain","football","ocean","baseball","population","temp"
"R_dcCWtFIOayz1b1y","0","6/7/12 19:52","6/7/12 19:59","","","20","","75","","90","","","","","80","","","","","4","","5","","","","","","","","100","75","100","82","30","100","60","100","","","","","79","100","85","100","","","","","","","","","","","","","","","1","6","1","3","","","","","2","6","1","4","","","","","2","6","1","3","","","","","","","","","","","","","","","","","2","3","2","2","","","","","","","","","","","","","","","","","6","1","7","1","","","","","7","2","7","1","","","","","","","","","","","","","","","","","","","","","","","3","","8","","10","","","","","5","","","","","4","","4","","","","","","2","","","","","","","","","","","19","1","2","add a third option for gender!","","Temperature A","US President A","Football A","","Box Office B","","","State Size A","Population A","","","movies","politics","temp","football","population","state size"
"R_0ilHhygQAeugHDS","0","6/7/12 19:52","6/7/12 19:59","","","","70","","","60","","","","","40","","","","","","80","","","50","","80","","","","100","80","","","90","100","100","70","","","","","80","100","","","100","90","100","70","","","","","","","","","","","","","","","3","7","1","4","","","","","","","","","5","7","1","4","","","","","","","","","","","","","","","","","5","5","1","5","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","","","","","5","7","1","6","","","","","7","1","7","1","","","","","","","","7","","","1","","","","","4","","","","","","7","","","1","","7","","2","","","","","","","","","","","49","1","2","I found this interesting. Thanks.","","Temperature B","","Football A","","Box Office B","","","State Size B","","Soccer A","Ocean Size A","movies","soccer","football","temp","ocean","state size"
"R_2gHURqWoYKZ5t2s","0","6/7/12 19:52","6/7/12 20:00","","60","","","","","","","","50","","","","30","","20","","","45","","50","","","","50","100","","","","","","","","","70","100","40","100","","","30","100","100","60","","","100","60","","","","","5","6","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","7","1","7","","","","","","","","","","","","","7","4","1","2","","","","","3","3","3","5","","","","","","","","","7","1","7","1","","","","","3","6","2","7","","","","","","","","","","","","","","6","","","","","","","","1","","","","5","","7","","","1","","1","","","","2","","","","","","","","","","","60","2","2","","Rain B","","","","Baseball B","","Housing Prices B","Crime B","","Population A","Soccer A","","population","rain","crime","baseball","soccer","housing"
"R_e3xE4EUntRhzT8g","0","6/7/12 19:55","6/7/12 20:01","","","","80","50","","50","","","","","","","","","","","","","100","100","","100","","","","50","100","50","100","50","100","","","","","","","","","75","100","50","100","100","20","","","","","","","","","","","","","","","5","5","4","5","3","3","3","3","","","","","5","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","5","4","4","5","3","5","","","","","5","5","5","5","","","","","","","","2","9","","2","","","","","","","","","","","","","2","2","","2","","2","","","","","","","","","","","27","2","2","na","","Temperature B","US President A","Football A","","","","","","Population B","Soccer A","Ocean Size A","football","ocean","population","soccer","politics","temp"
"R_86udMgQQkIXB0c4","0","6/7/12 19:50","6/7/12 20:02","","","","","","35","","","","50","50","","55","","","20","","","","70","","","","","","","","","100","35","","","100","90","75","100","65","100","","","85","100","","","","","95","100","","","","","","","","","","","","","","","","","","","","","2","2","1","3","","","","","","","","","","","","","2","6","1","6","1","7","1","4","","","","","6","2","6","1","","","","","","","","","6","1","7","2","","","","","","","","","","","","","3","1","7","2","","","","","","","","","","","","","","","","","","","","","","7","","","","1","1","","2","","","8","","","","5","","","","","2","","","","","","","","","","","58","2","2","","","","US President B","","Baseball B","Box Office A","Housing Prices A","Crime B","","Population B","","","housing","politics","baseball","crime","movies","population"
"R_3wN1upfKbz5kgDO","0","6/7/12 19:50","6/7/12 20:02","","","","30","","","","","","","","20","","35","","","0","","","","","40","0","","","","80","100","","","","","100","75","40","100","","","70","100","","","100","60","65","100","","","","","","","","","","","","","","","6","7","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","7","7","","","","","6","7","2","7","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","7","7","1","7","7","1","7","1","","","","","","","","8","","","","","","","","4","","6","","","2","","","","","6","3","","2","","","","","","","","","","","51","2","2","","","Temperature B","","","","Box Office B","Housing Prices B","","State Size A","","Soccer B","Ocean Size A","soccer","temp","housing","movies","ocean","state size"
"R_9soKCZrzdyv1kpK","0","6/7/12 19:51","6/7/12 20:02","","50","","","","60","","40","","","","","40","","70","","","0","","","","","","","100","70","","","100","90","100","75","","","80","100","60","100","100","80","","","","","","","","","","","","","3","6","2","5","","","","","","","","","","","","","2","4","7","1","","","","","2","5","2","3","","","","","","","","","","","","","","","","","5","7","1","5","","","","","4","2","2","4","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","9","","1","","","","","4","","7","","","10","","","","","","","2","","","","","","","","","","","21","2","2","","Rain B","","US President B","Football B","","","Housing Prices A","Crime A","State Size B","","","","housing","rain","crime","state size","football","politics"
"R_0MtQJ7MLevUhP0g","0","6/7/12 19:54","6/7/12 20:03","","60","","","70","","","","","","25","","","95","","20","10","","","","","","","","90","100","","","100","50","","","80","100","100","75","25","100","20","100","","","","","","","","","","","","","5","7","1","7","","","","","","","","","4","5","2","6","","","","","","","","","","","","","","","","","","","","","2","6","1","6","","","","","","","","","5","4","1","5","","","","","6","2","5","3","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","9","","","","","","5","","","8","","9","4","","","","","","","","2","","","","","","","","","","","45","1","2","Thanks for the opportunity to participate and good luck with your research!","Rain B","","US President A","","","Box Office A","Housing Prices B","Crime B","State Size A","","","","politics","housing","movies","rain","crime","state size"
"R_26xwAtKQqYDNreY","0","6/7/12 19:57","6/7/12 20:03","40","","","","","65","","50","","","","2","80","","99","","","","","","","","","","100","45","","","65","100","95","100","100","25","85","100","1","100","","","","","","","","","","","3","1","5","3","","","","","","","","","","","","","","","","","5","2","1","3","","","","","1","2","1","7","","","","","","","","","","","","","3","1","1","3","6","1","3","1","","","","","6","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","8","","1","","","","7","7","","8","","","","","","","","","","2","","","","","","","","","","","50","2","2","","Rain A","","US President B","Football B","","Box Office B","Housing Prices A","Crime A","","","","","housing","rain","football","movies","politics","crime"
"R_3927oTrsTkDiqmo","0","6/7/12 20:01","6/7/12 20:05","30","","","70","75","","","","60","","","","40","","","","25","","","","","","","","70","100","100","80","100","45","","","","","100","45","","","70","100","","","","","","","100","60","4","7","2","5","","","","","","","","","5","5","2","5","2","3","2","5","","","","","","","","","","","","","3","6","2","4","","","","","","","","","","","","","6","2","6","1","","","","","","","","","","","","","7","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","7","8","","","","5","","","","6","","","","4","","","","","","","","1","","","","","","","1","","","","22","2","2","","Rain A","Temperature B","US President A","","Baseball A","","Housing Prices A","","State Size A","","","","housing","temp","rain","politics","state size","baseball"
